tourney_date,surface,winner_id,loser_id,w_ace,l_ace,winner_rank,loser_rank,tourney_name,winner_ht,loser_ht,winner_hand,loser_hand
2023-01-02,Hard,126203,126610,15.0,7.0,9.0,16.0,United Cup,196.0,196.0,R,R
2023-01-02,Hard,126207,207518,3.0,0.0,19.0,23.0,United Cup,188.0,185.0,R,R
2023-01-02,Hard,126203,128034,11.0,17.0,9.0,10.0,United Cup,196.0,196.0,R,R
2023-01-02,Hard,126207,200390,5.0,3.0,19.0,245.0,United Cup,188.0,183.0,R,R
2023-01-02,Hard,126774,126610,9.0,7.0,4.0,16.0,United Cup,193.0,196.0,R,R
2023-01-02,Hard,207518,208852,2.0,2.0,23.0,803.0,United Cup,185.0,196.0,R,R
2023-01-02,Hard,126774,106432,20.0,7.0,4.0,26.0,United Cup,193.0,188.0,R,R
2023-01-02,Hard,127339,208852,4.0,4.0,144.0,803.0,United Cup,196.0,196.0,R,R
2023-01-02,Hard,126610,128034,11.0,12.0,16.0,10.0,United Cup,196.0,196.0,R,R
2023-01-02,Hard,207518,207415,8.0,1.0,23.0,260.0,United Cup,185.0,180.0,R,R
2023-01-02,Hard,111815,126203,7.0,16.0,14.0,9.0,United Cup,188.0,196.0,L,R
2023-01-02,Hard,126207,105554,10.0,9.0,19.0,27.0,United Cup,188.0,175.0,R,R
2023-01-02,Hard,126774,105676,12.0,2.0,4.0,53.0,United Cup,193.0,180.0,R,R
2023-01-02,Hard,208852,200267,8.0,1.0,803.0,129.0,United Cup,196.0,185.0,R,R
2023-01-02,Hard,126774,105777,12.0,11.0,4.0,28.0,United Cup,193.0,191.0,R,R
2023-01-02,Hard,106220,133018,2.0,2.0,196.0,506.0,United Cup,183.0,193.0,R,R
2023-01-02,Hard,105777,105676,10.0,2.0,28.0,53.0,United Cup,191.0,180.0,R,R
2023-01-02,Hard,106220,200267,2.0,4.0,196.0,129.0,United Cup,183.0,185.0,R,R
2023-01-02,Hard,128034,104527,11.0,9.0,10.0,148.0,United Cup,196.0,183.0,R,R
2023-01-02,Hard,144817,207415,3.0,0.0,56.0,260.0,United Cup,196.0,180.0,L,R
2023-01-02,Hard,128034,122330,18.0,15.0,10.0,37.0,United Cup,196.0,196.0,R,R
2023-01-02,Hard,207608,207415,3.0,2.0,142.0,260.0,United Cup,175.0,180.0,R,R
2023-01-02,Hard,104527,122330,10.0,7.0,148.0,37.0,United Cup,183.0,196.0,R,R
2023-01-02,Hard,144817,207608,6.0,4.0,56.0,142.0,United Cup,196.0,175.0,L,R
2023-01-02,Hard,126203,100644,8.0,3.0,9.0,12.0,United Cup,196.0,198.0,R,R
2023-01-02,Hard,126207,106214,9.0,10.0,19.0,76.0,United Cup,188.0,193.0,R,R
2023-01-02,Hard,126203,208103,5.0,4.0,9.0,81.0,United Cup,196.0,185.0,R,R
2023-01-02,Hard,126207,207830,4.0,6.0,19.0,97.0,United Cup,188.0,183.0,R,R
2023-01-02,Hard,208103,100644,5.0,1.0,81.0,12.0,United Cup,185.0,198.0,R,R
2023-01-02,Hard,106214,207494,7.0,0.0,76.0,222.0,United Cup,193.0,178.0,R,R
2023-01-02,Hard,200282,104745,3.0,2.0,24.0,2.0,United Cup,183.0,185.0,R,L
2023-01-02,Hard,106186,105077,10.0,4.0,107.0,39.0,United Cup,178.0,188.0,R,L
2023-01-02,Hard,111815,104745,6.0,10.0,14.0,2.0,United Cup,188.0,185.0,L,L
2023-01-02,Hard,105554,105077,5.0,3.0,27.0,39.0,United Cup,175.0,188.0,R,L
2023-01-02,Hard,111815,200282,4.0,3.0,14.0,24.0,United Cup,188.0,183.0,L,R
2023-01-02,Hard,106186,105554,11.0,3.0,107.0,27.0,United Cup,178.0,175.0,R,R
2023-01-02,Hard,126610,106329,15.0,4.0,16.0,71.0,United Cup,196.0,183.0,R,L
2023-01-02,Hard,207518,200335,9.0,1.0,23.0,166.0,United Cup,185.0,185.0,R,R
2023-01-02,Hard,126610,134770,10.0,4.0,16.0,3.0,United Cup,196.0,183.0,R,R
2023-01-02,Hard,207518,126340,7.0,6.0,23.0,343.0,United Cup,185.0,185.0,R,R
2023-01-02,Hard,134770,106329,8.0,2.0,3.0,71.0,United Cup,183.0,183.0,R,L
2023-01-02,Hard,200335,126340,5.0,11.0,166.0,343.0,United Cup,185.0,185.0,R,R
2023-01-02,Hard,106432,126239,10.0,8.0,26.0,44.0,United Cup,188.0,196.0,R,R
2023-01-02,Hard,127339,105173,14.0,9.0,144.0,46.0,United Cup,196.0,180.0,R,L
2023-01-02,Hard,126239,202103,2.0,1.0,44.0,30.0,United Cup,196.0,185.0,R,R
2023-01-02,Hard,105173,105948,6.0,2.0,46.0,75.0,United Cup,180.0,180.0,L,R
2023-01-02,Hard,106432,202103,4.0,2.0,26.0,30.0,United Cup,188.0,185.0,R,R
2023-01-02,Hard,127339,105948,6.0,0.0,144.0,75.0,United Cup,196.0,180.0,R,R
2023-01-02,Hard,104925,200624,7.0,15.0,5.0,33.0,Adelaide 1,188.0,196.0,R,R
2023-01-02,Hard,104925,106421,5.0,5.0,5.0,7.0,Adelaide 1,188.0,198.0,R,R
2023-01-02,Hard,200624,106415,9.0,0.0,33.0,36.0,Adelaide 1,196.0,170.0,R,L
2023-01-02,Hard,104925,133430,4.0,6.0,5.0,18.0,Adelaide 1,188.0,185.0,R,L
2023-01-02,Hard,106421,111575,6.0,1.0,7.0,20.0,Adelaide 1,198.0,198.0,R,R
2023-01-02,Hard,200624,206173,5.0,8.0,33.0,15.0,Adelaide 1,196.0,191.0,R,R
2023-01-02,Hard,106415,200615,2.0,27.0,36.0,120.0,Adelaide 1,170.0,196.0,L,R
2023-01-02,Hard,104925,111460,10.0,11.0,5.0,64.0,Adelaide 1,188.0,191.0,R,R
2023-01-02,Hard,133430,126128,7.0,3.0,18.0,88.0,Adelaide 1,185.0,185.0,L,R
2023-01-02,Hard,106421,200175,7.0,0.0,7.0,29.0,Adelaide 1,198.0,183.0,R,R
2023-01-02,Hard,111575,207733,7.0,6.0,20.0,42.0,Adelaide 1,198.0,193.0,R,L
2023-01-02,Hard,206173,106423,5.0,9.0,15.0,93.0,Adelaide 1,191.0,193.0,R,R
2023-01-02,Hard,200624,105138,12.0,5.0,33.0,21.0,Adelaide 1,196.0,183.0,R,R
2023-01-02,Hard,106415,111456,0.0,3.0,36.0,63.0,Adelaide 1,170.0,178.0,L,R
2023-01-02,Hard,200615,106218,16.0,4.0,120.0,61.0,Adelaide 1,196.0,180.0,R,R
2023-01-02,Hard,104925,106005,4.0,3.0,5.0,65.0,Adelaide 1,188.0,180.0,R,R
2023-01-02,Hard,111460,111442,14.0,5.0,64.0,84.0,Adelaide 1,191.0,183.0,R,R
2023-01-02,Hard,126128,144707,4.0,2.0,88.0,69.0,Adelaide 1,185.0,183.0,R,R
2023-01-02,Hard,133430,208014,7.0,2.0,18.0,164.0,Adelaide 1,185.0,178.0,L,R
2023-01-02,Hard,106421,132283,5.0,1.0,7.0,45.0,Adelaide 1,198.0,191.0,R,R
2023-01-02,Hard,200175,106331,4.0,9.0,29.0,78.0,Adelaide 1,183.0,183.0,R,R
2023-01-02,Hard,207733,126952,8.0,2.0,42.0,83.0,Adelaide 1,193.0,180.0,L,R
2023-01-02,Hard,111575,106398,6.0,3.0,20.0,57.0,Adelaide 1,198.0,185.0,R,R
2023-01-02,Hard,206173,106378,5.0,1.0,15.0,582.0,Adelaide 1,191.0,188.0,R,R
2023-01-02,Hard,106423,202195,21.0,20.0,93.0,34.0,Adelaide 1,193.0,201.0,R,R
2023-01-02,Hard,200624,104918,12.0,3.0,33.0,49.0,Adelaide 1,196.0,191.0,R,R
2023-01-02,Hard,105138,126094,8.0,15.0,21.0,8.0,Adelaide 1,183.0,188.0,R,R
2023-01-02,Hard,106415,208029,0.0,14.0,36.0,11.0,Adelaide 1,170.0,188.0,L,R
2023-01-02,Hard,111456,123755,4.0,2.0,63.0,67.0,Adelaide 1,178.0,191.0,R,R
